,Actuals,Predictions
0,0,1
1,0,0
2,0,1
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,1
29,0,0
30,0,0
31,0,1
32,0,0
33,0,1
34,0,0
35,0,1
36,0,0
37,0,1
38,0,0
39,0,0
40,0,1
41,0,0
42,0,0
43,0,0
44,0,1
45,0,0
46,0,0
47,0,1
48,0,0
49,0,1
50,0,0
51,0,0
52,0,0
53,0,0
54,0,1
55,0,1
56,0,1
57,0,0
58,0,1
59,0,0
60,0,0
61,0,0
62,0,0
63,0,1
64,0,1
65,0,1
66,0,0
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,0
78,0,0
79,0,0
80,0,1
81,0,0
82,0,1
83,0,0
84,0,1
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,1
98,0,1
99,0,1
100,0,0
101,0,0
102,0,1
103,0,1
104,0,1
105,0,0
106,0,1
107,0,1
108,0,1
109,0,0
110,0,1
111,0,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,1
118,0,0
119,0,0
120,0,1
121,0,1
122,0,1
123,0,1
124,0,1
125,0,1
126,0,1
127,0,1
128,0,1
129,0,0
130,0,1
131,0,1
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,0,0
140,0,1
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
157,0,1
158,0,1
159,0,1
160,0,1
161,0,1
162,0,1
163,0,1
164,0,1
165,0,1
166,0,1
167,0,1
168,0,1
169,0,1
170,0,1
171,0,1
172,0,1
173,0,1
174,0,1
175,0,1
176,0,1
177,0,1
178,0,1
179,0,1
180,0,1
181,0,1
182,0,1
183,0,1
184,0,1
185,0,1
186,0,1
187,0,1
188,0,1
189,0,1
190,0,1
191,0,1
192,0,1
193,0,1
194,0,1
195,0,1
196,0,1
197,0,1
198,0,1
199,0,1
200,0,1
201,0,1
202,0,1
203,0,1
204,0,1
205,0,1
206,0,1
207,0,1
208,0,1
209,0,1
210,0,1
211,0,1
212,0,0
213,0,0
214,0,1
215,0,1
216,0,1
217,0,0
218,0,0
219,0,1
220,0,1
221,0,1
222,0,1
223,0,1
224,0,1
225,0,1
226,0,1
227,0,1
228,0,1
229,0,1
230,0,1
231,0,1
232,0,1
233,0,1
234,0,0
235,0,1
236,0,0
237,0,1
238,0,0
239,0,1
240,0,1
241,0,1
242,0,0
243,0,1
244,0,0
245,0,0
246,0,0
247,0,1
248,0,1
249,0,1
250,0,1
251,0,0
252,0,1
253,0,1
254,0,1
255,0,1
256,0,1
257,0,1
258,0,1
259,0,1
260,0,1
261,0,1
262,0,1
263,0,2
264,0,1
265,0,1
266,0,1
267,0,1
268,0,1
269,0,1
270,0,2
271,0,1
272,0,1
273,0,0
274,0,0
275,0,1
276,0,1
277,0,1
278,0,1
279,0,1
280,0,1
281,0,1
